nom_fitxer,consulta
aparcament-bicibox,"nwr[""amenity""=""bicycle_parking""][""operator""=""Bicibox""]"
aparcament-bicicletes,"nwr[""amenity""=""bicycle_parking""][""operator""!=""Bicibox""]"
aparcament-blava,"nwr[""amenity""=""parking_space""][""parking_space""=""normal""][""fee""=""yes""]"
aparcament-carrega-descarrega,"nwr[""amenity""=""parking_space""][""parking_space""=""delivery""]"
aparcament-comercial,"nwr[""amenity""=""parking_space""][""parking_space""=""normal""][""access""=""customers""]"
aparcament-discapacitat,"nwr[""amenity""=""parking_space""][""parking_space""=""disabled""]"
aparcament-emergencia,"nwr[""amenity""=""parking_space""][""parking_space""=""emergency""]"
aparcament-especial,"nwr[""amenity""=""parking_space""][""parking_space""=""police""]"
aparcament-lliure,"nwr[""amenity""=""parking_space""][""parking_space""=""normal""][""fee""!=""yes""][""access""!=""customers""]"
aparcament-motos,"nwr[""amenity""=""parking_space""][""parking_space""=""motorcycle""]"
aparcament-parquimetre,"nwr[""vending""=""parking_tickets""]"
aparcament-recarrega-electric,"nwr[""amenity""=""parking_space""][""parking_space""=""charging""]"
aparcament-taxi,"nwr[""amenity""=""parking_space""][""parking_space""=""taxi""]"
educacio-academia,"nwr[""amenity""=""prep_school""]"
educacio-art,"nwr[""amenity""=""arts_centre""][""training""=""art""]"
educacio-autoescola,"nwr[""amenity""=""driving_school""]"
educacio-bressol,"nwr[""amenity""=""kindergarten""]"
educacio-danca,"nwr[""amenity""~""dancing_school""]"
educacio-idiomes,"nwr[""amenity""=""language_school""]"
educacio-musica,"nwr[""amenity""~""music_school""]"
educacio-school,"nwr[""amenity""=""school""]"
esbarjo-arbrat,"nwr[""natural""=""tree""]"
esbarjo-banc,"nwr[""amenity""=""bench""]"
esbarjo-font-aigua,"nwr[""amenity""=""drinking_water""]"
esbarjo-font-ornamental,"nwr[""amenity""~""fountain""]"
esbarjo-paperera,"nwr[""amenity""=""waste_basket""]"
esbarjo-parc-infantil,"nwr[""leisure""=""playground""]"
esport-vies-ciclistes,"nwr[""highway""=""cycleway""]"
reciclatge-deixalleria,"nwr[""recycling_type""=""centre""]"
reciclatge-envasos,"nwr[""recycling:plastic""=""yes""][""recycling_type""=""container""]"
reciclatge-minideixalleria,"nwr[""note""=""Minideixalleria""][""recycling_type""=""container""]"
reciclatge-oli,"nwr[""recycling:cooking_oil""=""yes""][""recycling_type""=""container""]"
reciclatge-organica,"nwr[""recycling:organic""=""yes""][""recycling_type""=""container""]"
reciclatge-paper,"nwr[""recycling:paper""=""yes""][""recycling_type""=""container""]"
reciclatge-resta,"nwr[""recycling:waste""=""yes""][""recycling_type""=""container""]"
reciclatge-roba,"nwr[""recycling:clothes""=""yes""][""recycling_type""=""container""]"
reciclatge-vidre,"nwr[""recycling:glass_bottles""=""yes""][""recycling_type""=""container""]"
salut-cap,"nwr[""healthcare""=""clinic""][""operator:type""=""public""]"
salut-clinica,"nwr[""healthcare""=""clinic""][""operator:type""=""private""]"
salut-dentista,"nwr[""healthcare""=""dentist""]"
salut-farmacia,"nwr[""healthcare""=""pharmacy""]"
salut-veterinari,"nwr[""amenity""=""veterinary""]"
